year,pptLag1,pptWin2,TmeanSum1,recFebMarSnow,recpptApr
1931,216.535,39.243,18.88490641,-19.09561053,-19.48447368
1932,296.418,67.183,19.41508545,-36.83751053,1.724526316
1933,274.701,27.686,18.0007965,-31.84641053,2.613526316
1934,276.987,61.976,18.75109518,1.198989474,-12.11847368
1935,185.293,35.306,18.99064118,-31.04631053,25.21952632
1936,236.601,64.135,18.49332791,11.66378947,-3.482473684
1937,227.584,122.047,18.58841099,28.05948947,-1.958473684
1938,236.982,59.055,18.8005191,16.31198947,-5.768473684
1939,296.672,97.917,18.24611708,8.653889474,-2.339473684
1940,296.418,59.817,18.58980486,-27.90941053,16.45652632
1941,266.573,63.754,19.0525687,0.297289474,23.56852632
1942,403.606,62.992,16.12962963,1.1,0.574
1943,320.802,54.102,18.77777778,70.696,-3.49
1944,247.396,62.992,18.75925926,16.086,8.194
1945,421.386,75.692,16.92074871,27.65308947,-9.959473684
1946,338.709,22.606,17.19255277,-12.79641053,-16.94447368
1947,333.756,42.672,18.55555556,46.82,9.718
1948,282.448,54.356,18.44444444,23.96,-3.998
1949,291.719,73.914,18.29245115,15.46108947,-11.48347368
1950,282.194,29.718,19.23556352,-19.52441053,-6.784473684
1951,267.081,103.632,17.2246941,96.53788947,-3.736473684
1952,212.598,37.592,17.51851852,1.1,-14.412
1953,338.074,51.054,18.22222222,-6.52,6.924
1954,275.971,39.243,19.53763441,-5.100210526,2.105526316
1955,203.454,50.419,18.65989646,-8.922910526,-2.085473684
1956,234.95,64.135,18.49641577,-12.75831053,24.45752632
1957,267.716,79.502,18.12962963,-14.14,5.908
1958,343.408,98.044,18.2962963,40.724,0.32
1959,268.224,66.04,18.46296296,-0.678,-15.936
1960,329.438,66.294,17.25925926,1.1,0.828
1961,227.076,80.01,18.88888889,13.038,-8.824
1962,257.048,27.178,17.42592593,-31.92,-10.348
1963,403.606,30.988,17.05555556,-37,27.498
1964,314.198,24.384,18.94444444,-34.968,14.544
1965,369.824,22.86,17.33333333,-13.632,40.96
1966,302.768,55.118,15.61111111,-10.33,-3.236
1967,224.282,34.798,19.16666667,-20.236,19.37
1968,369.316,121.92,19.42592593,29.294,-15.174
1969,306.07,42.418,16.5,-22.268,-9.84
1970,434.086,40.64,18.81481481,-6.266,3.114
1971,269.494,22.86,17.16666667,-31.412,15.814
1972,341.122,57.658,17.27777778,-0.17,-16.444
1973,257.556,62.738,16.94444444,-8.806,-2.982
1974,291.338,62.992,17.88888889,36.406,-15.682
1975,236.474,33.782,18.25925926,-16.68,37.658
1976,327.66,40.64,18.09259259,-11.6,9.21
1977,241.046,61.722,18.05555556,-1.694,-14.412
1978,335.534,62.738,17.46296296,24.468,62.042
1979,391.668,58.42,17.22222222,-15.41,-16.952
1980,213.614,63.5,18.81481481,-28.11,-9.84
1981,349.504,90.424,17.2962963,-1.44,18.608
1982,353.568,102.616,19.90740741,-0.678,-1.458
1983,343.408,46.736,18.09259259,-6.52,-3.998
1984,434.34,60.706,18.03703704,19.896,36.642
1985,522.986,66.548,17.46296296,8.72,-14.412
1986,355.854,80.518,16.61111111,-15.41,30.038
1987,378.968,35.052,16.51851852,-12.108,-19.492
1988,287.02,75.438,17.88888889,-3.472,37.404
1989,263.398,56.642,19.24074074,5.926,-15.174
1990,249.936,55.372,17.83333333,-20.744,2.86
1991,328.422,49.022,19.48148148,-7.282,12.004
1992,334.01,83.058,18.75925926,-9.06,-16.19
1993,264.668,41.402,17.12962963,6.942,27.752
1994,410.21,121.158,14.90740741,1.1,5.908
1995,256.032,55.372,19.46296296,1.354,26.482
1996,586.74,49.784,17.18518519,-8.806,15.052
1997,316.992,73.406,17.7037037,13.292,11.496
1998,350.012,65.532,18.05555556,3.894,18.1
1999,408.432,74.168,20.03703704,-2.202,22.418
2000,362.712,34.544,17.72222222,-11.854,11.496
2001,241.808,30.226,18.92592593,-12.362,6.67
2002,200.66,39.624,20.07407407,-23.792,0.32
2003,248.158,60.96,19.09259259,-3.472,69.408
2004,258.064,49.784,20.57407407,-25.316,9.972
2005,231.394,84.074,17.94444444,-23.03,20.386
